Seq,StepID,StepGroup,Page,Action,ObjectName,InputValue,StoreAs,AssertType,ExpectedValue,WaitCondition,Timeout,Optional,Retry,Screenshot,SkipIf,Description
22,220,ConfigureDesign,DesignPage,select,ddl_Design_Type,${data.design.Design Type},,,,,10000,FALSE,0,always,,Select Design Type. Native <select> - select matches by visible label first
23,230,ConfigureDesign,DesignPage,select,ddl_design_Type,${data.design.Design Type},,,,,10000,FALSE,0,always,,Select designType. Native <select> - select matches by visible label first
24,240,ConfigureDesign,DesignPage,fill,txt_Upper_Limit_for_Sample_Size,${data.design.Upper Limit for Sample Size},,,,,10000,FALSE,0,never,,fill Upper Limit for Sample Size
25,250,ConfigureDesign,DesignPage,fill,txt_Power,${data.design.Power},,,,,10000,FALSE,0,never,,fill Power
26,260,ConfigureDesign,DesignPage,fill,txt_Type_1_Error,${data.design.Type 1 Error},,,,,10000,FALSE,0,never,,fill Type 1 Error
27,270,ConfigureDesign,DesignPage,fill,txt_Proportion_Response_under_Null_0,${data.design.Proportion Response under Null},,,,,10000,FALSE,0,never,,fill Proportion Response under Null
28,280,ConfigureDesign,DesignPage,fill,txt_Proportion_Response_under_Alternative_1,${data.design.Proportion Response under Alternative},,,,,10000,FALSE,0,never,,fill Proportion Response under Alternative
29,290,ConfigureDesign,DesignPage,click,btn_Save,,,,,,10000,FALSE,0,never,,click Save
30,300,Simulate,DesignPage,click,btn_Save_Compute,,,,,,10000,FALSE,0,never,,click Save Compute
31,310,ExtractResults,ResultsPage,fill,txt_ResultName,${data.design.Result Name},,,,,10000,FALSE,0,never,,fill Result Name
32,320,ExtractResults,ResultsPage,click,txt_credit_alert_primary,,,,,,10000,FALSE,0,never,,click credit alert primary
33,330,Simulate,ResultsPage,waitForSimulation,lbl_RunStatus,,,,Completed,,120000,FALSE,0,always,,Poll the run status until Completed before opening the result
34,340,ExtractResults,ResultsPage,click,lnk_ResultName,${data.design.Result Name},,,,visible,180000,FALSE,0,always,,Open the computed result by name (only appears once compute finishes)
35,350,ExtractResults,ResultsPage,callCustom,,extractAllResultTables,,,,,120000,FALSE,0,always,,Capture EVERY table on the result page. Requires custom/<Feature>/customSteps.ts to export extractAllResultTables
36,360,ExtractResults,-,compareWithBaseline,,,,,,,60000,FALSE,0,never,,Compare captured cells against 06_baseline/<env>/. First run writes the baseline and reports BASELINE_CREATED (green but verifies nothing); every later run is a real PASS/FAIL
