Seq,StepID,StepGroup,Page,Action,ObjectName,InputValue,StoreAs,AssertType,ExpectedValue,WaitCondition,Timeout,Optional,Retry,Screenshot,SkipIf,Description
20,200,ConfigureDesign,ProjectPage,fill,txt_Follow_up_Time_Week,${data.project.followUpTime},,,,,10000,FALSE,0,never,,fill Follow-up Time
21,210,ConfigureDesign,ProjectPage,click,btn_Create_Project,,,,,,10000,FALSE,0,never,,click Create Project
22,220,ConfigureDesign,ProjectPage,click,btn_Inputs,,,,,,10000,FALSE,0,never,,click Inputs
23,230,CreateInputSet,InputSetPage,click,btn_New_Input_Set,,,,,,10000,FALSE,0,never,,click New Input Set
24,240,CreateInputSet,InputSetPage,fill,txt_collection_Name,${data.inputset.collectionName},,,,,10000,FALSE,0,never,,fill collectionName
25,250,Simulate,DesignPage,click,btn_Design_Compute_or_simulate_a,,,,,,10000,FALSE,0,never,,click Design Compute or simulate a
26,260,ExtractResults,ResultsPage,select,ddl_Select_Test,${data.design.Select Test},,,,,15000,FALSE,0,always,,Select Select Test. select opens the menu and commits the option itself - works for native and custom dropdowns
27,270,ExtractResults,ResultsPage,click,btn_Continue,,,,,,10000,FALSE,0,never,,click Continue
28,280,ExtractResults,ResultsPage,fill,txt_Allocation_Ratio_nt_nc,${data.design.Allocation Ratio},,,,,10000,FALSE,0,never,,fill Allocation Ratio
29,290,ExtractResults,ResultsPage,check,opt_Computed_Parameter,${data.design.Computed Parameter},,,,visible,10000,FALSE,0,never,,select Computed Parameter
30,300,ExtractResults,ResultsPage,fill,txt_Sample_Size_n,${data.design.Sample Size},,,,,10000,FALSE,0,never,,fill Sample Size
31,310,ExtractResults,ResultsPage,fill,txt_Power,${data.design.Power},,,,,10000,FALSE,0,never,,fill Power
32,320,ExtractResults,ResultsPage,select,ddl_Test_Type,${data.design.Test Type},,,,,10000,FALSE,0,always,,Select Test Type. Native <select> - select matches by visible label first
33,330,ExtractResults,ResultsPage,fill,txt_Type_1_Error,${data.design.Type 1 Error},,,,,10000,FALSE,0,never,,click Type 1 Error
34,340,ExtractResults,ResultsPage,fill,txt_Rate_for_Control_c,${data.design.Rate for Control},,,,,10000,FALSE,0,never,,fill Rate for Control
35,350,ExtractResults,ResultsPage,fill,txt_Ratio_of_Rates_1_t_c,${data.design.Ratio of Rates},,,,,10000,FALSE,0,never,,fill Ratio of Rates
36,360,ExtractResults,ResultsPage,assertValue,obj_Rate_for_Treatment_t,,,,${data.design.Rate for Treatment},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
37,370,ExtractResults,ResultsPage,fill,txt_Follow_Up_Control_Dc_Week,${data.design.Follow-Up Control},,,,,10000,FALSE,0,never,,fill Follow-Up Control
38,380,ExtractResults,ResultsPage,fill,txt_Follow_Up_Treatment_Dt,${data.design.Follow-Up Treatment},,,,,10000,FALSE,0,never,,fill Follow-Up Treatment (Dt) (
39,390,ExtractResults,ResultsPage,click,btn_Save,,,,,,10000,FALSE,0,never,,click Save
40,400,ExtractResults,ResultsPage,click,btn_Save_Compute,,,,,,10000,FALSE,0,never,,click Save Compute
41,410,ExtractResults,ResultsPage,fill,txt_ResultName,${data.design.Result Name},,,,,10000,FALSE,0,never,,fill Result Name
42,420,ExtractResults,ResultsPage,click,txt_credit_alert_primary,,,,,,10000,FALSE,0,never,,click credit alert primary
43,430,Simulate,ResultsPage,waitForSimulation,lbl_RunStatus,,,,Completed,,120000,FALSE,0,always,,Poll the run status until Completed before opening the result
44,440,ExtractResults,ResultsPage,click,lnk_ResultName,${data.design.Result Name},,,,visible,180000,FALSE,0,always,,Open the computed result by name (only appears once compute finishes)
45,450,ExtractResults,ResultsPage,callCustom,,extractAllResultTables,,,,,120000,FALSE,0,always,,Capture EVERY table on the result page. Requires custom/<Feature>/customSteps.ts to export extractAllResultTables
46,460,ExtractResults,-,compareWithBaseline,,,,,,,60000,FALSE,0,never,,Compare captured cells against 06_baseline/<env>/. First run writes the baseline and reports BASELINE_CREATED (green but verifies nothing); every later run is a real PASS/FAIL
