Seq,StepID,StepGroup,Page,Action,ObjectName,InputValue,StoreAs,AssertType,ExpectedValue,WaitCondition,Timeout,Optional,Retry,Screenshot,SkipIf,Description,DynamicArgs
21,210,CreateInputSet,InputSetPage,click,btn_New_Input_Set,,,,,,10000,FALSE,0,never,,click New Input Set,
22,220,CreateInputSet,InputSetPage,fill,txt_collection_Name,${data.inputset.collectionName},,,,,10000,FALSE,0,never,,fill collectionName,
23,230,ConfigureDesign,InputSetPage,click,ddl_Select_Task,,,,,,10000,FALSE,0,never,,click Select Task,
24,231,ConfigureDesign,InputSetPage,click,txt_Select_Test,,,,,,10000,FALSE,0,never,,click Select Test,
25,240,ConfigureDesign,InputSetPage,select,ddl_Select_Test,${data.inputset.SelectTest},,,,,15000,FALSE,0,always,,Select Select Test. select opens the menu and commits the option itself - works for native and custom dropdowns,
26,250,ConfigureDesign,InputSetPage,click,btn_Continue,,,,,,10000,FALSE,0,never,,click Continue,
27,260,ConfigureDesign,DesignPage,select,ddl_Hypothesis,${data.design.Hypothesis},,,,,10000,FALSE,0,always,,Select Hypothesis. Native <select> - select matches by visible label first,
28,270,ConfigureDesign,DesignPage,fill,txt_Allocation_Ratio_ntc_nct,${data.design.allocationRatio},,,,,10000,FALSE,0,never,,fill Allocation Ratio,
29,280,Simulate,DesignPage,check,opt_Computed_Parameter,${data.design.Computed Parameter},,,,visible,10000,FALSE,0,never,,select Computed Parameter,
30,290,ConfigureDesign,ResultsPage,fill,txt_Sample_Size_n,${data.design.Sample Size},,,,,10000,FALSE,0,never,,fill Sample Size,
31,300,ConfigureDesign,ResultsPage,fill,txt_Power,${data.design.Power},,,,,10000,FALSE,0,never,,fill Power,
32,310,ConfigureDesign,ResultsPage,select,ddl_Test_Type,${data.design.Test Type},,,,,10000,FALSE,0,always,,Select Test Type. Native <select> - select matches by visible label first,
33,320,ConfigureDesign,ResultsPage,fill,txt_Type_1_Error,${data.design.type1Error},,,,,10000,FALSE,0,never,,fill Type 1 Error,
34,330,ConfigureDesign,ResultsPage,select,ddl_Input_Method,${data.design.inputMethod},,,,,10000,FALSE,0,always,,Select Input Method. Native <select> - select matches by visible label first,
35,340,ConfigureDesign,ResultsPage,fill,txt_Mean_Control_c,${data.design.meanControl},,,,,10000,FALSE,0,never,,fill Mean Control,
36,350,ConfigureDesign,ResultsPage,fill,txt_Mean_Treatment_t,${data.design.meanTreatment},,,,,10000,FALSE,0,never,,fill Mean Treatment,
37,360,ConfigureDesign,ResultsPage,fill,txt_Ratio_of_Means_t_c,${data.design.equi_ratioOfMeans},,,,,10000,FALSE,0,never,,fill equivalence Ratio of Means,
38,355,ConfigureDesign,ResultsPage,select,ddl_hypothesis,${data.design.Hypothesis},,,,,10000,FALSE,0,always,,Select hypothesis before hypothesis-specific ratio fields. Native <select> - select matches by visible label first,
39,380,ConfigureDesign,ResultsPage,fill,txt_Noninferiority_Margin_0,${data.design.nonInf_margin},,,,,10000,FALSE,0,never,,fill Noninferiority Margin,
40,390,ConfigureDesign,ResultsPage,fill,txt_non_Inf_ratio_Of_Means,${data.design.nonInf_ratioOfMeans},,,,,10000,FALSE,0,never,,fill Ratio of Means,
41,400,ConfigureDesign,ResultsPage,fill,txt_Lower_Equivalence_Limit_L,${data.design.lowerEquivalenceLimit},,,,,10000,FALSE,0,never,,fill Lower Equivalence Limit,
42,410,ConfigureDesign,ResultsPage,fill,txt_Upper_Equivalence_Limit_U,${data.design.upperEquivalenceLimit},,,,,10000,FALSE,0,never,,fill Upper Equivalence Limit,
43,420,ExtractResults,ResultsPage,assertValue,obj_Test_Statistic,,,,${data.design.testStatistic},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action",
44,430,ConfigureDesign,ResultsPage,fill,txt_Sqrt_of_MSE_Log,${data.design.sqrtOfMseLog},,,,,10000,FALSE,0,never,,fill Sqrt. of MSE Log,
45,440,ConfigureDesign,ResultsPage,click,btn_Save,,,,,,10000,FALSE,0,never,,click Save,
46,450,Simulate,DesignPage,click,btn_Save_Compute,,,,,,10000,FALSE,0,never,,click Save Compute,
47,455,ExtractResults,ResultsPage,fill,txt_ResultName,${data.design.ResultName},,,,,10000,FALSE,0,never,,fill Result Name before compute,
48,460,ExtractResults,ResultsPage,click,txt_credit_alert_primary,,,,,,10000,FALSE,0,never,,click credit-alert-primary,
48,470,Simulate,ResultsPage,waitForSimulation,lbl_RunStatus,,,,Completed,,120000,FALSE,0,always,,Poll the run status until Completed before opening the result,
49,480,ExtractResults,ResultsPage,click,lnk_ResultName,${data.design.ResultName},,,,visible,180000,FALSE,0,always,,Open the computed result by name (only appears once compute finishes),
50,490,ExtractResults,ResultsPage,callCustom,,extractAllResultTables,,,,,120000,FALSE,0,always,,Capture EVERY table on the result page. Requires custom/<Feature>/customSteps.ts to export extractAllResultTables,
51,500,ExtractResults,-,compareWithBaseline,,,,,,,60000,FALSE,0,never,,Compare captured cells against 06_baseline/<env>/. First run writes the baseline and reports BASELINE_CREATED (green but verifies nothing); every later run is a real PASS/FAIL,
