Seq,StepID,StepGroup,Page,Action,ObjectName,InputValue,StoreAs,AssertType,ExpectedValue,WaitCondition,Timeout,Optional,Retry,Screenshot,SkipIf,Description,DynamicArgs
21,210,CreateInputSet,InputSetPage,fill,txt_collection_Name,${data.inputset.InputSetname},,,,,10000,FALSE,0,never,,fill InputSetname,
22,220,ConfigureDesign,InputSetPage,click,btn_Select_Task,${data.inputset.SelectTask},,,,,10000,FALSE,0,never,,click Select Task,
23,230,ConfigureDesign,InputSetPage,select,ddl_Select_Test,${data.inputset.SelectTest},,,,,15000,FALSE,0,always,,Select Select Test. select opens the menu and commits the option itself - works for native and custom dropdowns,
24,240,ConfigureDesign,InputSetPage,click,btn_Continue,,,,,,10000,FALSE,0,never,,click Continue,
25,250,ConfigureDesign,DesignPage,fill,txt_Control_Mean,${data.design.controlMean},,,,,10000,FALSE,0,never,,fill Control Mean,
26,260,ConfigureDesign,DesignPage,fill,txt_Treatment_Mean_TV,${data.design.treatmentMeanTV},,,,,10000,FALSE,0,never,,fill Treatment Mean TV,
27,270,ConfigureDesign,DesignPage,fill,txt_Treatment_Mean_LRV,${data.design.treatmentMeanLRV},,,,,10000,FALSE,0,never,,fill Treatment Mean LRV,
28,280,ConfigureDesign,DesignPage,fill,txt_Treatment_Mean_UIV,${data.design.treatmentMeanUIV},,,,,10000,FALSE,0,never,,fill Treatment Mean UIV,
29,290,ConfigureDesign,DesignPage,fill,txt_Standard_Deviation,${data.design.stdDev},,,,,10000,FALSE,0,never,,fill Standard Deviation,
30,300,ConfigureDesign,DesignPage,fill,txt_Sample_Size_n,${data.design.sampleSize},,,,,10000,FALSE,0,never,,fill Sample Size,
31,310,ConfigureDesign,DesignPage,fill,txt_Allocation_Ratio_R_nt_nc,${data.design.allocationRatio},,,,,10000,FALSE,0,never,,fill Allocation Ratio,
32,320,ConfigureDesign,DesignPage,select,ddl_desired_Confidence_Select,${data.design.desiredConfidenceSelect},,,,,10000,FALSE,0,always,,Select desiredConfidenceSelect. Native <select> - select matches by visible label first,
33,330,ConfigureDesign,DesignPage,fill,txt_desired_Confidence_Input,${data.design.desiredConfidenceInput},,,,,10000,FALSE,0,never,,fill desiredConfidenceInput,
34,340,ConfigureDesign,DesignPage,fill,txt_acceptable_Risk_Input,${data.design.acceptableRiskInput},,,,,10000,FALSE,0,never,,fill acceptableRiskInput,
35,350,ConfigureDesign,DesignPage,select,ddl_Method,${data.design.Method},,,,,10000,FALSE,0,always,,Select Method. Native <select> - select matches by visible label first,
36,360,ConfigureDesign,DesignPage,fill,txt_Mean,${data.design.priorMeanControl},,,,,10000,FALSE,0,never,,fill Mean,
37,370,ConfigureDesign,DesignPage,fill,txt_prior_SDControl,${data.design.priorSDControl},,,,,10000,FALSE,0,never,,fill Standard Deviation,
38,380,ConfigureDesign,DesignPage,fill,txt_prior_Mean_Treatment,${data.design.priorMeanTreatment},,,,,10000,FALSE,0,never,,fill Mean,
39,390,ConfigureDesign,DesignPage,fill,txt_prior_SDTreatment,${data.design.priorSDTreatment},,,,,10000,FALSE,0,never,,fill Standard Deviation,
40,400,ConfigureDesign,DesignPage,select,ddl_Interim_Type,${data.design.interimType},,,,,10000,FALSE,0,always,,Select Interim Type. Native <select> - select matches by visible label first,
41,410,ConfigureDesign,DesignPage,select,ddl_Stop_Rule,${data.design.stopRule},,,,,10000,FALSE,0,always,,Select Stop Rule. Native <select> - select matches by visible label first,
42,420,ConfigureDesign,DesignPage,select,ddl_Go_Rule,${data.design.goRule},,,,,10000,FALSE,0,always,,Select Go Rule. Native <select> - select matches by visible label first,
43,430,ConfigureDesign,DesignPage,click,btn_Add_Interim,,,,,,10000,FALSE,0,never,${data.design.decideInterimTable.1.analysisSpacingInfo}==EMPTY,click Add Interim (builds period 1 — only for interim-analysis iterations; a fixed design has no interim table at all so the button never renders — S8),
44,440,ConfigureDesign,DesignPage,click,btn_Add_Interim,,,,,,10000,FALSE,0,never,${data.design.decideInterimTable.2.analysisSpacingInfo}==EMPTY,click Add Interim (builds period 2 — only for iterations with a 3rd interim analysis),
45,450,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_0_analysis_Spacing_Info,${data.design.decideInterimTable.0.analysisSpacingInfo},,,,,10000,FALSE,0,never,,fill decideInterimTable.0.analysisSpacingInfo,
46,460,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_1_analysis_Spacing_Info,${data.design.decideInterimTable.1.analysisSpacingInfo},,,,,10000,FALSE,0,never,,fill decideInterimTable.1.analysisSpacingInfo,
47,470,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_2_analysis_Spacing_Info,${data.design.decideInterimTable.2.analysisSpacingInfo},,,,,10000,FALSE,0,never,,fill decideInterimTable.2.analysisSpacingInfo,
48,480,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_0_stop_Cutoff,${data.design.decideInterimTable.0.stopCutoff},,,,,10000,FALSE,0,never,,fill decideInterimTable.0.stopCutoff,
49,490,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_0_interim_ARTV,${data.design.decideInterimTable.0.interimARTV},,,,,10000,FALSE,0,never,,fill decideInterimTable.0.interimARTV,
50,500,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_0_max_Stop_PP,${data.design.decideInterimTable.0.maxStopPP},,,,,10000,FALSE,0,never,,fill decideInterimTable.0.maxStopPP,
51,510,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_0_go_Cutoff,${data.design.decideInterimTable.0.goCutoff},,,,,10000,FALSE,0,never,,fill decideInterimTable.0.goCutoff,
52,520,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_0_interim_DCLRV,${data.design.decideInterimTable.0.interimDCLRV},,,,,10000,FALSE,0,never,,fill decideInterimTable.0.interimDCLRV,
53,530,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_0_min_Go_PP,${data.design.decideInterimTable.0.minGoPP},,,,,10000,FALSE,0,never,,fill decideInterimTable.0.minGoPP,
53.1,531,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_1_stop_Cutoff,${data.design.decideInterimTable.1.stopCutoff},,,,,10000,FALSE,0,never,,fill decideInterimTable.1.stopCutoff (table-completeness),
53.2,532,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_2_stop_Cutoff,${data.design.decideInterimTable.2.stopCutoff},,,,,10000,FALSE,0,never,,fill decideInterimTable.2.stopCutoff (table-completeness),
53.3,533,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_1_interim_ARTV,${data.design.decideInterimTable.1.interimARTV},,,,,10000,FALSE,0,never,,fill decideInterimTable.1.interimARTV (table-completeness),
53.4,534,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_2_interim_ARTV,${data.design.decideInterimTable.2.interimARTV},,,,,10000,FALSE,0,never,,fill decideInterimTable.2.interimARTV (table-completeness),
53.5,535,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_1_max_Stop_PP,${data.design.decideInterimTable.1.maxStopPP},,,,,10000,FALSE,0,never,,fill decideInterimTable.1.maxStopPP (table-completeness),
53.6,536,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_2_max_Stop_PP,${data.design.decideInterimTable.2.maxStopPP},,,,,10000,FALSE,0,never,,fill decideInterimTable.2.maxStopPP (table-completeness),
53.7,537,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_1_go_Cutoff,${data.design.decideInterimTable.1.goCutoff},,,,,10000,FALSE,0,never,,fill decideInterimTable.1.goCutoff (table-completeness),
53.8,538,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_2_go_Cutoff,${data.design.decideInterimTable.2.goCutoff},,,,,10000,FALSE,0,never,,fill decideInterimTable.2.goCutoff (table-completeness),
53.9,539,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_1_interim_DCLRV,${data.design.decideInterimTable.1.interimDCLRV},,,,,10000,FALSE,0,never,,fill decideInterimTable.1.interimDCLRV (table-completeness),
53.91,540,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_2_interim_DCLRV,${data.design.decideInterimTable.2.interimDCLRV},,,,,10000,FALSE,0,never,,fill decideInterimTable.2.interimDCLRV (table-completeness),
53.92,541,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_1_min_Go_PP,${data.design.decideInterimTable.1.minGoPP},,,,,10000,FALSE,0,never,,fill decideInterimTable.1.minGoPP (table-completeness),
53.93,542,ConfigureDesign,DesignPage,fill,txt_decide_Interim_Table_2_min_Go_PP,${data.design.decideInterimTable.2.minGoPP},,,,,10000,FALSE,0,never,,fill decideInterimTable.2.minGoPP (table-completeness),
54,545,ConfigureDesign,DesignPage,click,btn_Save,,,,,,10000,FALSE,0,never,,click Save,
55,550,Simulate,DesignPage,click,btn_Save_Compute,,,,,,10000,FALSE,0,never,,click Save Compute,
56,560,ExtractResults,ResultsPage,fill,txt_ResultName,${data.design.Result Name},,,,,10000,FALSE,0,never,,fill Result Name,
57,570,ExtractResults,ResultsPage,click,txt_credit_alert_primary,,,,,,10000,FALSE,0,never,,click credit-alert-primary,
58,580,Simulate,ResultsPage,waitForSimulation,lbl_RunStatus,,,,Completed,,120000,FALSE,0,always,,Poll the run status until Completed before opening the result,
59,590,ExtractResults,ResultsPage,click,lnk_ResultName,${data.design.Result Name},,,,visible,180000,FALSE,0,always,,Open the computed result by name (only appears once compute finishes),
60,600,ExtractResults,ResultsPage,callCustom,,extractAllResultTables,,,,,120000,FALSE,0,always,,Capture EVERY table on the result page. Requires custom/<Feature>/customSteps.ts to export extractAllResultTables,
61,610,ExtractResults,-,compareWithBaseline,,,,,,,60000,FALSE,0,never,,Compare captured cells against 06_baseline/<env>/. First run writes the baseline and reports BASELINE_CREATED (green but verifies nothing); every later run is a real PASS/FAIL,
